Image,Cell,Area,Perimeter,Major_diameter,Minor_diameter,Angle,Circularity,Aspect_ratio,Round,Solidity,Budded
27,1,11.766,12.82,4.164,3.598,40.572,0.9,1.157,0.864,0.973,FALSE
27,2,4.846,8.236,2.805,2.2,41.328,0.898,1.275,0.784,0.963,FALSE
27,3,11.995,13.042,4.394,3.476,54.545,0.886,1.264,0.791,0.974,FALSE
27,4,6.701,9.751,3.39,2.517,36.028,0.886,1.347,0.743,0.97,FALSE
28,1,9.443,11.419,3.747,3.208,162.089,0.91,1.168,0.856,0.974,FALSE
28,2,7.089,9.92,3.303,2.733,48.559,0.905,1.209,0.827,0.969,FALSE
28,3,8.222,10.83,3.704,2.826,154.515,0.881,1.311,0.763,0.969,FALSE
29,1,9.493,11.451,3.754,3.22,176.231,0.91,1.166,0.858,0.973,FALSE
29,2,12.366,13.134,4.405,3.575,98.807,0.901,1.232,0.812,0.975,FALSE
29,3,8.703,11.029,3.788,2.925,113.52,0.899,1.295,0.772,0.974,FALSE
30,1,12.286,13.042,4.224,3.704,75.631,0.908,1.14,0.877,0.976,FALSE
30,2,6.908,9.958,3.47,2.535,130.849,0.875,1.369,0.731,0.968,FALSE
30,3,8.513,11.365,4.231,2.562,103.154,0.828,1.652,0.605,0.969,FALSE
30,4,10.389,13.042,3.995,3.311,38.414,0.768,1.206,0.829,0.938,FALSE
1,1,16.41,19.722,7.709,2.71,104.298,0.53,2.844,0.352,0.843,TRUE
1,2,7.994,10.547,3.472,2.932,10.94,0.903,1.184,0.844,0.968,FALSE
1,3,7.503,10.287,3.396,2.813,150.034,0.891,1.207,0.828,0.967,FALSE
1,4,9.134,11.359,3.831,3.036,78.641,0.89,1.262,0.793,0.969,FALSE
1,5,11.141,12.636,4.458,3.182,13.218,0.877,1.401,0.714,0.973,FALSE
1,6,12.945,13.632,4.642,3.551,64.72,0.875,1.307,0.765,0.971,FALSE
1,7,7.461,10.417,3.697,2.57,23.682,0.864,1.438,0.695,0.968,FALSE
1,8,9.024,11.619,4.256,2.7,169.294,0.84,1.577,0.634,0.966,FALSE
1,9,8.458,11.258,4.139,2.602,88.016,0.839,1.591,0.629,0.969,FALSE
1,10,7.203,10.462,3.869,2.371,87.975,0.827,1.632,0.613,0.963,FALSE
1,11,15.425,16.663,5.71,3.44,10.092,0.698,1.66,0.602,0.916,TRUE
1,12,10.765,14.986,5.323,2.575,147.351,0.602,2.067,0.484,0.881,TRUE
1,13,15.222,19.18,6.524,2.971,34.04,0.52,2.196,0.455,0.854,TRUE
2,1,9.282,11.511,4.033,2.93,5.101,0.88,1.376,0.727,0.973,FALSE
2,2,9.096,11.505,4.095,2.828,36.169,0.864,1.448,0.691,0.969,FALSE
2,3,19.899,20.236,7.299,3.471,93.363,0.611,2.103,0.476,0.884,TRUE
2,4,15.434,18.115,6.73,2.92,88.56,0.591,2.305,0.434,0.892,TRUE
3,1,6.477,9.568,3.177,2.596,103.301,0.889,1.224,0.817,0.963,FALSE
3,1,9.177,11.558,4.017,2.908,41.294,0.863,1.381,0.724,0.968,FALSE
4,1,11.34,12.56,4.168,3.464,12.996,0.903,1.203,0.831,0.975,FALSE
5,1,7.094,9.866,3.092,2.921,114.307,0.916,1.058,0.945,0.97,FALSE
5,2,12.24,13.08,4.397,3.544,45.671,0.899,1.24,0.806,0.976,FALSE
5,3,9.679,11.657,4.041,3.05,53.202,0.895,1.325,0.755,0.973,FALSE
5,4,8.095,10.671,3.611,2.854,127.586,0.893,1.265,0.791,0.968,FALSE
5,5,8.855,11.175,3.727,3.025,60.593,0.891,1.232,0.812,0.968,FALSE
5,6,9.155,11.489,4.13,2.822,146.847,0.872,1.463,0.683,0.972,FALSE
5,7,9.493,11.717,3.753,3.22,175.416,0.869,1.165,0.858,0.958,FALSE
5,8,8.644,11.343,4.167,2.641,158.579,0.844,1.578,0.634,0.969,FALSE
5,9,11.12,12.944,4.822,2.936,118.094,0.834,1.642,0.609,0.972,FALSE
5,10,15.721,18.882,7.273,2.752,30.894,0.554,2.643,0.378,0.872,TRUE
6,1,10.178,11.856,3.796,3.414,7.697,0.91,1.112,0.9,0.971,FALSE
6,2,10.49,12.063,3.987,3.35,34.885,0.906,1.19,0.84,0.974,FALSE
6,3,11.703,12.751,4.215,3.535,152.526,0.905,1.192,0.839,0.977,FALSE
6,4,8.146,10.677,3.578,2.899,82.517,0.898,1.234,0.81,0.97,FALSE
6,5,5.564,9.079,3.171,2.234,36.422,0.848,1.42,0.704,0.953,FALSE
7,1,7.36,10.141,3.432,2.73,37.612,0.899,1.257,0.796,0.97,FALSE
7,2,12.455,13.363,4.587,3.457,3.65,0.877,1.327,0.754,0.974,FALSE
7,3,10.152,12.177,4.293,3.011,169.988,0.86,1.426,0.701,0.971,FALSE
7,4,9.316,11.78,4.374,2.712,40.121,0.844,1.613,0.62,0.971,FALSE
7,5,8.577,11.343,4.16,2.625,10.368,0.838,1.585,0.631,0.967,FALSE
7,6,7.33,10.861,3.43,2.721,41.765,0.781,1.261,0.793,0.937,FALSE
7,7,7.689,11.188,4.435,2.208,88.333,0.772,2.009,0.498,0.964,FALSE
7,8,17.297,20.014,7.513,2.931,111.732,0.543,2.563,0.39,0.869,TRUE
8,1,11.821,12.82,4.327,3.479,28.235,0.904,1.244,0.804,0.977,FALSE
8,2,12.434,13.188,4.338,3.65,173.952,0.898,1.188,0.841,0.975,FALSE
8,3,5.509,8.794,3.02,2.323,39.289,0.895,1.3,0.769,0.966,FALSE
8,4,7.339,10.157,3.358,2.783,35.249,0.894,1.207,0.829,0.966,FALSE
8,5,11.276,13.816,4.291,3.346,130.16,0.742,1.283,0.78,0.916,TRUE
8,6,17.778,19.202,7.459,3.035,9.773,0.606,2.458,0.407,0.898,TRUE
8,7,21.564,21.659,8.429,3.257,31.88,0.578,2.588,0.386,0.887,TRUE
8,8,6.375,12.529,2.943,2.758,6.312,0.51,1.067,0.937,0.81,TRUE
9,1,6.27,9.238,2.873,2.778,45.755,0.923,1.034,0.967,0.971,FALSE
9,2,11.995,12.912,4.072,3.75,31.151,0.904,1.086,0.921,0.973,FALSE
9,3,7.368,10.119,3.128,2.999,1.451,0.904,1.043,0.959,0.966,FALSE
9,4,11.576,12.69,4.024,3.663,59.991,0.903,1.099,0.91,0.973,FALSE
9,5,7.491,10.233,3.407,2.799,175.587,0.899,1.217,0.822,0.969,FALSE
9,6,12.299,13.156,4.322,3.623,6.499,0.893,1.193,0.838,0.975,FALSE
9,7,12.189,13.134,4.122,3.765,27.071,0.888,1.095,0.914,0.97,FALSE
9,8,6.135,9.317,3.178,2.457,48.409,0.888,1.293,0.773,0.964,FALSE
9,9,11.086,12.668,4.512,3.129,59.645,0.868,1.442,0.693,0.973,FALSE
9,10,8.902,11.403,3.875,2.925,106.101,0.86,1.325,0.755,0.965,FALSE
9,11,10.579,12.627,4.751,2.835,0.774,0.834,1.676,0.597,0.974,FALSE
10,1,8.61,10.899,3.391,3.233,156.645,0.911,1.049,0.953,0.971,FALSE
10,2,7.656,10.363,3.434,2.839,10.907,0.896,1.21,0.827,0.968,FALSE
10,3,9.443,11.527,3.849,3.123,27.988,0.893,1.232,0.811,0.97,FALSE
10,4,11.179,12.652,4.197,3.391,154.59,0.878,1.238,0.808,0.968,FALSE
10,5,8.078,11.023,3.87,2.658,149.758,0.835,1.456,0.687,0.961,FALSE
11,1,5.822,8.994,2.929,2.53,136.563,0.904,1.158,0.864,0.962,FALSE
11,2,13.017,13.486,4.655,3.561,5.679,0.899,1.307,0.765,0.977,FALSE
11,3,8.251,10.785,3.441,3.054,60.047,0.891,1.127,0.888,0.965,FALSE
11,4,7.85,10.601,3.652,2.737,75.24,0.878,1.334,0.75,0.967,FALSE
11,5,8.412,11.023,3.937,2.721,131.546,0.87,1.447,0.691,0.97,FALSE
11,6,6.895,10.034,3.653,2.403,1.522,0.861,1.52,0.658,0.969,FALSE
11,7,8.64,11.444,4.214,2.611,44.127,0.829,1.614,0.62,0.966,FALSE
11,8,7.689,10.868,3.935,2.488,14.354,0.818,1.581,0.632,0.961,FALSE
11,9,7.685,10.893,4.084,2.396,132.926,0.814,1.705,0.587,0.962,FALSE
11,10,4.783,8.61,2.886,2.11,96.412,0.811,1.367,0.731,0.941,FALSE
11,11,10.934,13.686,4.396,3.167,160.095,0.734,1.388,0.721,0.914,TRUE
